url,publisher,repo,slug,name,description,category,tags,install_count,github_stars,install_command,date_added,security_audited,external_links
https://skills.sh/jimliu/baoyu-skills/baoyu-compress-image,jimliu,baoyu-skills,baoyu-compress-image,"baoyu-compress-image","Discover and install skills for AI agents.",Frontend/Design,"baoyu, compress, image",,,"$ npx skills add https://github.com/jimliu/baoyu-skills --skill baoyu-compress-image",,true,"https://vercel.com, https://github.com/jimliu/baoyu-skills"
https://skills.sh/jimliu/baoyu-skills/baoyu-danger-gemini-web,jimliu,baoyu-skills,baoyu-danger-gemini-web,"baoyu-danger-gemini-web","Discover and install skills for AI agents.",Mobile,"baoyu, danger, gemini, web",,,"$ npx skills add https://github.com/jimliu/baoyu-skills --skill baoyu-danger-gemini-web",,true,"https://vercel.com, https://github.com/jimliu/baoyu-skills"
https://skills.sh/coreyhaines31/marketingskills/customer-research,coreyhaines31,marketingskills,customer-research,"customer-research","Discover and install skills for AI agents.",Frontend/Design,"customer, research",,3,"$ npx skills add https://github.com/coreyhaines31/marketingskills --skill customer-research",,true,"https://vercel.com, https://github.com/coreyhaines31/marketingskills"
https://skills.sh/github/awesome-copilot/prd,github,awesome-copilot,prd,"prd","Discover and install skills for AI agents.",Frontend/Design,"prd",,,"$ npx skills add https://github.com/github/awesome-copilot --skill prd",,true,"https://vercel.com, https://github.com/github/awesome-copilot"
https://skills.sh/github/awesome-copilot/documentation-writer,github,awesome-copilot,documentation-writer,"documentation-writer","Discover and install skills for AI agents.",Frontend/Design,"documentation, writer",,,"$ npx skills add https://github.com/github/awesome-copilot --skill documentation-writer",,true,"https://vercel.com, https://diataxis.fr/, https://github.com/github/awesome-copilot"
https://skills.sh/kepano/obsidian-skills/json-canvas,kepano,obsidian-skills,json-canvas,"json-canvas","Discover and install skills for AI agents.",Frontend/Design,"json, canvas",,,"$ npx skills add https://github.com/kepano/obsidian-skills --skill json-canvas",,true,"https://vercel.com, https://jsoncanvas.org/spec/1.0/, https://github.com/kepano/obsidian-skills/blob/HEAD/skills/json-canvas/references/EXAMPLES.md, https://jsoncanvas.org/spec/1.0/, https://github.com/obsidianmd/jsoncanvas"
https://skills.sh/vercel-labs/next-skills/next-upgrade,vercel-labs,next-skills,next-upgrade,"next-upgrade","Discover and install skills for AI agents.",Mobile,"next, upgrade",,,"$ npx skills add https://github.com/vercel-labs/next-skills --skill next-upgrade",,true,"https://vercel.com, https://nextjs.org/docs/app/guides/upgrading/codemods, https://nextjs.org/docs/app/guides/upgrading/version-16, https://nextjs.org/docs/app/guides/upgrading/version-15, https://nextjs.org/docs/app/guides/upgrading/version-14"
https://skills.sh/antfu/skills/vitest,antfu,skills,vitest,"vitest","Discover and install skills for AI agents.",Database/Backend,"vitest",,,"$ npx skills add https://github.com/antfu/skills --skill vitest",,true,"https://vercel.com, https://github.com/antfu/skills/blob/HEAD/skills/vitest/references/core-config.md, https://github.com/antfu/skills/blob/HEAD/skills/vitest/references/core-cli.md, https://github.com/antfu/skills/blob/HEAD/skills/vitest/references/core-test-api.md, https://github.com/antfu/skills/blob/HEAD/skills/vitest/references/core-describe.md"
https://skills.sh/googleworkspace/cli/gws-slides,googleworkspace,cli,gws-slides,"gws-slides","Discover and install skills for AI agents.",Frontend/Design,"gws, slides",,,"$ npx skills add https://github.com/googleworkspace/cli --skill gws-slides",,true,"https://vercel.com, https://github.com/googleworkspace/cli"
https://skills.sh/googleworkspace/cli/gws-shared,googleworkspace,cli,gws-shared,"gws-shared","Discover and install skills for AI agents.",Mobile,"gws, shared",,,"$ npx skills add https://github.com/googleworkspace/cli --skill gws-shared",,true,"https://vercel.com, https://github.com/googleworkspace/cli"
